epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,0.98277,0.64143,0.99457,0.68526,0.52135,0.51451,0.33212,1.1861,1.2364,1.1414,0.005644,0.005644,0.005644
134,0.93088,0.65121,1.0175,0.70331,0.51566,0.51867,0.3372,1.2036,1.2727,1.1617,0.005611,0.005611,0.005611
135,0.91033,0.64654,1.0034,0.73234,0.52721,0.55099,0.36866,1.1687,1.2099,1.1418,0.005578,0.005578,0.005578
136,0.9387,0.62939,1.0032,0.6981,0.56532,0.55108,0.37519,1.1554,1.159,1.1257,0.005545,0.005545,0.005545
137,0.98332,0.63793,1.0033,0.70093,0.59128,0.55327,0.36566,1.1226,1.0925,1.1144,0.005512,0.005512,0.005512
138,0.89908,0.64005,1.0125,0.72053,0.59968,0.59355,0.38229,1.1238,1.0568,1.1092,0.005479,0.005479,0.005479
139,0.97781,0.64198,1.0022,0.73891,0.55015,0.58932,0.38373,1.1107,1.1101,1.1049,0.005446,0.005446,0.005446
140,0.93475,0.62945,1.0148,0.73532,0.56508,0.60076,0.39209,1.1017,1.1148,1.1148,0.005413,0.005413,0.005413
141,0.99281,0.63713,0.99319,0.74471,0.5623,0.60448,0.39281,1.1285,1.1318,1.1234,0.00538,0.00538,0.00538
142,0.8913,0.6135,1.0031,0.74238,0.5677,0.59917,0.39406,1.1056,1.1372,1.1327,0.005347,0.005347,0.005347
143,0.91367,0.62671,1.0119,0.73953,0.6118,0.59308,0.38416,1.1011,1.1018,1.1228,0.005314,0.005314,0.005314
144,0.88477,0.59855,0.99268,0.74719,0.60579,0.59289,0.3726,1.1153,1.11,1.122,0.005281,0.005281,0.005281
145,0.94029,0.64193,1.0308,0.74858,0.58234,0.58013,0.38653,1.0914,1.064,1.1228,0.005248,0.005248,0.005248
146,0.91186,0.61699,1,0.74417,0.6244,0.59635,0.38365,1.1154,1.1042,1.1218,0.005215,0.005215,0.005215
147,0.86972,0.61224,1.0189,0.76793,0.56632,0.57718,0.36601,1.1588,1.1788,1.1316,0.005182,0.005182,0.005182
148,0.92775,0.63414,1.0214,0.76705,0.56653,0.57097,0.36637,1.1171,1.1406,1.1275,0.005149,0.005149,0.005149
149,0.91452,0.61559,0.98861,0.7754,0.57777,0.58772,0.37273,1.1259,1.1286,1.1342,0.005116,0.005116,0.005116
150,0.9672,0.61129,0.98213,0.78631,0.58223,0.57568,0.37701,1.1283,1.1202,1.1351,0.005083,0.005083,0.005083
151,0.92149,0.5983,0.98672,0.77586,0.59142,0.60063,0.39443,1.1371,0.99285,1.1235,0.00505,0.00505,0.00505
152,0.93155,0.64353,1.0342,0.78264,0.59209,0.59978,0.39589,1.1355,0.9821,1.1173,0.005017,0.005017,0.005017
